judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Tsurune Movie: Hajimari no Issha,7.51,Sports,https://cdn.myanimelist.net/images/anime/1485/123862.jpg,Summer 2022,Movie,"A recap of Tsurune: Kazemai Koukou Kyuudoubu with new scenes.

Minato Narumiya reignites his passion for kyudo, the Japanese martial art of archery. Along with his friends in the school kyudo club, he returns for this feature-length sports anime film.

(Source: HIDIVE)",Kyoto Animation,recap tsurun kazemai koukou kyuudoubu new scene minato narumiya reignit passion kyudo japanes martial art archeri along friend school kyudo club return featur length sport anim film sourc hidiv sport kyoto anim movi
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.32,"Drama, Sci-Fi, Adult Cast, Military, Space",https://cdn.myanimelist.net/images/anime/1700/123762.jpg,Summer 2022,Movie,"After Yang Wen-li successfully captures the Iserlohn Fortress, the Free Planets Alliance grows bolder in its militaristic ambitions. With recent incursions into Galactic Empire territory and the possession of a perfect beachhead, the Alliance is now able to deal significant damage to the Empire. However, Reinhard von Lohengramm has no intention of allowing the Free Planets Alliance to gain a foothold. He is adamant about carrying on his best friend Siegfried Kircheis' dearest wish: to be the one to unite the universe. 

As wide-scale military clashes continue, the opportunist Adrian Rubinsky, Fezzan's ambitious leader, attempts to take advantage of the war to further his personal goals.

[Written by MAL Rewrite]",Production I.G,yang wen li success captur iserlohn fortress free planet allianc grow bolder militarist ambit recent incurs galact empir territori possess perfect beachhead allianc abl deal signific damag empir howev reinhard von lohengramm intent allow free planet allianc gain foothold adam carri best friend siegfri kirchei dearest wish one unit univers wide scale militari clash continu opportunist adrian rubinski fezzan ambiti leader attempt take advantag war person goal written mal rewrit drama sci fi adult cast militari space product g movi
Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,7.13,"Idols (Male), Music",https://cdn.myanimelist.net/images/anime/1647/127599.jpg,Summer 2022,Movie,"With the great success of ""Maji LOVE LIVE Kingdom,"" the members of ST☆RISH have been busy with their idol activities. However, while their success has brought a sense of fulfillment, they began to have feelings they never felt before. ""What do we do from now on..."" At that time, a call comes in from the Shining Office summoning everyone to receive a ""reward."" What is it...? This is the behind-the-scenes story of ST☆RISH, connecting ""Maji LOVE Kingdom"" to the ""Maji LOVE ST☆RISH Tours.""

(Source: HIDIVE, edited)",A-1 Pictures,great success maji love live kingdom member st rish busi idol activ howev success brought sens fulfil began feel never felt time call come shine offic summon everyon receiv reward behind scene stori st rish connect maji love kingdom maji love st rish tour sourc hidiv edit idol male music 1 pictur movi
Gundam: G no Reconguista Movie IV - Gekitou ni Sakebu Ai,6.79,"Sci-Fi, Mecha, Space",https://cdn.myanimelist.net/images/anime/1133/124283.jpg,Summer 2022,Movie,The fourth film in the five-part Gundam: G no Reconguista Movie series.,Sunrise,fourth film five part gundam g reconguista movi seri sci fi mecha space sunris movi
Gundam: G no Reconguista Movie V - Shisen wo Koete,6.69,"Sci-Fi, Mecha, Space",https://cdn.myanimelist.net/images/anime/1876/125206.jpg,Summer 2022,Movie,The fifth and final film in the five-part Gundam: G no Reconguista Movie series.,Sunrise,fifth final film five part gundam g reconguista movi seri sci fi mecha space sunris movi
Osomatsu-san: Hipipo-Zoku to Kagayaku Kajitsu,6.41,"Comedy, Adult Cast, Gag Humor, Parody",https://cdn.myanimelist.net/images/anime/1728/123861.jpg,Summer 2022,Movie,"First of two new anime installments commemorating the anime's sixth anniversary.

(Source: MAL News)",Studio Pierrot,first two new anim instal commemor anim sixth anniversari sourc mal news comedi adult cast gag humor parodi studio pierrot movi
Delicious Party♡Precure Movie: Yume Miru Oko-sama Lunch!,6.75,Action,https://cdn.myanimelist.net/images/anime/1548/126145.jpg,Summer 2022,Movie,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Toei Animation,synopsi inform ad titl help improv databas ad synopsi action toei anim movi
Xin Shen Bang: Yang Jian,7.28,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1473/126467.jpg,Summer 2022,Movie,"Thirteen years after Yang Jian (known to some as Erlang Shen) imprisoned his sister beneath a mountain, the once powerful god now scrapes by as a penniless bounty hunter. When a mysterious woman hires him for a new job, Yang Jian soon finds himself chasing down a familiar figure. He must stop Chenxiang, his long-lost nephew, who is in search of the magical lotus lantern that will free his mother, even if it will bring catastrophe. As Yang Jian confronts the actions of his past, he must face a host of dangerous vigilantes seeking the same treasure with the power to alter the balance of their worlds.

(Source: Movie Insider)",Light Chaser Animation Studios,thirteen year yang jian known erlang shen imprison sister beneath mountain power god scrape penniless bounti hunter mysteri woman hire new job yang jian soon find chase familiar figur must stop chenxiang long lost nephew search magic lotu lantern free mother even bring catastroph yang jian confront action past must face host danger vigilant seek treasur power alter balanc world sourc movi insid action adventur fantasi light chaser anim studio movi
Aikatsu! 10th Story: Mirai e no Starway,7.16,"Idols (Female), Music",https://cdn.myanimelist.net/images/anime/1716/127765.jpg,Summer 2022,Movie,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,Bandai Namco Pictures,synopsi inform ad titl help improv databas ad synopsi idol femal music bandai namco pictur movi
Aikatsu Planet! Movie,6.33,"Slice of Life, Idols (Female), Music, School",https://cdn.myanimelist.net/images/anime/1110/127764.jpg,Summer 2022,Movie,"Mao Otoha, who is now a second year high school student at Seirei Private High School, is now performing as the top idol Hana in Aikatsu Planet!

A few months after the Planet Princess Grand Prix, her schedule is packed everyday. The reason why Mao can be an active idol is because of the bond she has with her fans, in which she has changed and felt touched, and now would like to deliver her gratitude to those important around her by launching the ""Aikatsu Planet! Gratitude Festival"".

(source: eiga.com, translated)",Bandai Namco Pictures,mao otoha second year high school student seirei privat high school perform top idol hana aikatsu planet month planet princess grand prix schedul pack everyday reason mao activ idol bond fan chang felt touch would like deliv gratitud import around launch aikatsu planet gratitud festiv sourc eiga com translat slice life idol femal music school bandai namco pictur movi
